CALCULADORA DE RACIÓN Y COSTOS — EquiNutrición,,,,,
"Llena solo la columna B de los bloques 1 a 4. Todo lo demás se calcula solo.",,,,,
,,,,,
1. DATOS DEL CABALLO,,,,,
Caballo,Relámpago,,,,
Edad (años),7,,,,
Uso / trabajo,Rodeo,,,,
Fecha de medición,05-08-2026,,,,
,,,,,
2. PESO ESTIMADO,,,,,
Perímetro torácico (cm),178,,,,
Largo del cuerpo (cm),152,,,,
Peso estimado (kg),=B11^2*B12/11900,,"Fórmula (PT² × largo) ÷ 11900, la misma de la app. Margen ±5%.",,
,,,,,
3. REQUERIMIENTO DE MATERIA SECA,,,,,
Condición corporal (1-9),4,,"Henneke. Ideal 4 a 6; deporte cerca de 5.",,
% del peso vivo en materia seca,2,,"Rango habitual 1,5 a 3. Ajústalo según el caso.",,
MS base (kg/día),=B13*B17/100,,,,
Ajuste por condición (%),10,,"Positivo si está flaco; negativo si está pasado. Tope ±20.",,
MS objetivo (kg/día),=B18*(1+B19/100),,,,
,,,,,
4. RACIÓN,,,,,
Alimento,kg tal cual/día,% materia seca,kg MS/día,$ por kg,$ por día
Heno de pradera,6,88,=B24*C24/100,180,=B24*E24
Concentrado,3,90,=B25*C25/100,650,=B25*E25
Suplemento,,95,=B26*C26/100,,=B26*E26
,,,=B27*C27/100,,=B27*E27
,,,=B28*C28/100,,=B28*E28
TOTAL,=SUM(B24:B28),,=SUM(D24:D28),,=SUM(F24:F28)
,,,"Los suplementos se anotan en kg: 50 g se escribe 0,05.",,
,,,,,
5. CONTROL — ¿la ración calza con el objetivo?,,,,,
MS objetivo (kg/día),=B20,,,,
MS de la ración (kg/día),=D29,,,,
Diferencia (kg),=B34-B33,,"Mientras más cerca de 0, mejor calza la ración con el requerimiento.",,
Ración como % del peso vivo,=B34/B13*100,,"Compáralo con el % que pusiste más arriba.",,
,,,,,
6. COSTOS,,,,,
Costo por día,=F29,,,,
Costo por mes (30 días),=B39*30,,,,
Costo por año,=B39*365,,,,
,,,,,
7. PLANTEL — solo para la auditoría en terreno,,,,,
Caballo,PT (cm),Largo (cm),Peso (kg),CC (1-9),Costo $/día
,,,=B45^2*C45/11900,,
,,,=B46^2*C46/11900,,
,,,=B47^2*C47/11900,,
,,,=B48^2*C48/11900,,
,,,=B49^2*C49/11900,,
,,,=B50^2*C50/11900,,
,,,=B51^2*C51/11900,,
,,,=B52^2*C52/11900,,
,,,=B53^2*C53/11900,,
,,,=B54^2*C54/11900,,
,,,=B55^2*C55/11900,,
,,,=B56^2*C56/11900,,
TOTAL,,,=SUM(D45:D56),,=SUM(F45:F56)
Costo del plantel por mes,,,,,=F57*30
,,,"El costo por día de cada caballo sale de correr el bloque 4 para ese caballo.",,
,,,,,
REFERENCIA — % de materia seca orientativo,,,,,
Heno de pradera,88,,"Valores de referencia. Si tienes análisis de tu alimento, usa el tuyo.",,
Heno de alfalfa,89,,,,
Pradera fresca,22,,,,
Concentrado comercial,90,,,,
Afrechillo de trigo,88,,,,
Ensilaje,35,,,,
